LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,Distance
T. Harris - T. Hardaway Jr. - M. Beasley - I. Stewart - C. Cunningham,DET,23,61,100.0,91.7,8.3,52.9,1.08,15.1,16.1,79.1,50.4,0.2,57.6,61.4,108.86,53.6,21.722558816928036
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,73.9,3.16,24.5,30.1,71.3,51.9,0.1,61.3,64.0,103.44,53.3,17.13841681094457
A. Horford - J. Tatum - L. Kornet - P. Pritchard - S. Hauser,BOS,15,72,102.0,97.8,4.2,64.2,1.89,16.2,34.5,65.4,49.4,0.1,48.2,50.7,95.36,49.3,15.768121768904523
C. LeVert - G. Niang - J. Allen - D. Garland - S. Merrill,CLE,20,60,123.2,121.3,1.9,66.1,3.15,21.7,18.9,70.7,45.9,0.1,64.0,66.6,109.3,53.0,15.901550400657218
K. Caldwell-Pope - G. Bitadze - C. Anthony - C. Houstan - T. da Silva,ORL,6,69,99.2,100.0,-0.8,61.5,2.46,17.7,28.9,64.4,46.3,0.1,45.7,47.5,87.54,51.8,16.521433554117
M. Beasley - I. Stewart - C. Cunningham - S. Fontecchio - R. Holland II,DET,21,71,97.4,98.7,-1.3,64.2,1.79,16.0,26.4,77.9,50.0,0.1,46.5,49.3,103.31,45.2,18.74018231901092
K. Love - T. Rozier - B. Adebayo - H. Highsmith - T. Herro,MIA,5,58,97.5,100.8,-3.3,57.8,1.44,15.9,26.2,76.6,51.2,0.1,46.8,49.8,100.41,48.6,17.570654367104016
F. VanVleet - J. Green - A. Sengun - J. Smith Jr. - A. Thompson,HOU,13,74,121.4,125.8,-4.4,45.3,2.13,15.0,47.0,76.4,60.6,0.1,54.5,56.0,98.67,48.6,18.685372656130994
M. Bridges - G. Williams - L. Ball - J. Green - B. Miller,CHA,6,60,127.6,133.6,-6.0,80.0,2.44,24.4,18.0,77.3,45.7,0.1,68.6,71.5,101.05,46.9,28.514437593936293
S. Curry - D. Green - D. Schröder - A. Wiggins - T. Jackson-Davis,GSW,8,74,97.4,105.7,-8.2,75.4,1.92,20.6,25.6,79.2,51.6,0.2,50.4,51.8,102.76,47.3,15.946451177131587
J. Poole - B. Coulibaly - A. Sarr - B. Carrington - K. George,WAS,11,77,98.2,106.4,-8.2,55.7,2.0,15.2,23.4,64.0,42.8,0.1,46.1,50.2,105.23,43.1,15.02360783314476
L. Markkanen - J. Collins - C. Sexton - K. George - K. Filipowski,UTA,5,52,117.3,127.3,-10.0,65.2,1.88,19.9,23.9,76.9,48.2,0.1,60.4,63.5,101.77,44.8,18.685629951465458
A. Horford - J. Holiday - K. Porziņģis - J. Brown - D. White,BOS,8,52,96.4,109.3,-12.8,59.5,1.79,17.1,16.4,80.0,46.7,0.1,51.1,53.8,102.25,43.6,16.575957953244156
J. Grant - A. Simons - D. Ayton - D. Avdija - T. Camara,POR,15,188,98.7,115.8,-17.1,58.0,1.38,15.4,29.1,68.8,48.1,0.2,46.9,50.2,99.87,40.1,15.759887332540957
