Lineup 1,Team 1,GP 1,MIN 1,OFFRTG 1,DEFRTG 1,NETRTG 1,Lineup 2,Team 2,GP 2,MIN 2,OFFRTG 2,DEFRTG 2,NETRTG 2,Common Players,Player Removed,Player Added,OFFRTG Difference,DEFRTG Difference,NETRTG Difference,Substituted Minutes
F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,HOU,28,416,110.4,103.8,6.6,D. Brooks - J. Green - A. Sengun - J. Smith Jr. - A. Thompson,HOU,8,48,103.9,94.1,9.8,"A. Sengun, D. Brooks, J. Smith Jr., J. Green",F. VanVleet,A. Thompson,-6.5,-9.700000000000003,3.200000000000001,368
F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,HOU,28,416,110.4,103.8,6.6,F. VanVleet - D. Brooks - J. Green - J. Tate - A. Sengun,HOU,6,36,118.7,98.8,19.9,"D. Brooks, J. Green, A. Sengun, F. VanVleet",J. Smith Jr.,J. Tate,8.299999999999997,-5.0,13.299999999999999,380
F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,HOU,28,416,110.4,103.8,6.6,F. VanVleet - D. Brooks - J. Green - A. Sengun - T. Eason,HOU,15,35,112.0,125.0,-13.0,"D. Brooks, J. Green, A. Sengun, F. VanVleet",J. Smith Jr.,T. Eason,1.5999999999999943,21.200000000000003,-19.6,381
D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,SAC,27,414,115.0,113.4,1.6,D. DeRozan - D. Sabonis - D. Fox - K. Huerter - K. Murray,SAC,16,184,115.0,105.5,9.5,"D. DeRozan, D. Sabonis, K. Murray, D. Fox",M. Monk,K. Huerter,0.0,-7.900000000000006,7.9,230
D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,SAC,27,414,115.0,113.4,1.6,D. DeRozan - D. Sabonis - M. Monk - K. Murray - K. Ellis,SAC,22,126,123.8,101.2,22.7,"D. DeRozan, D. Sabonis, K. Murray, M. Monk",D. Fox,K. Ellis,8.799999999999997,-12.200000000000003,21.099999999999998,288
D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,SAC,27,414,115.0,113.4,1.6,D. DeRozan - D. Sabonis - D. Fox - K. Murray - K. Ellis,SAC,16,80,130.2,109.8,20.4,"D. DeRozan, D. Sabonis, K. Murray, D. Fox",M. Monk,K. Ellis,15.199999999999989,-3.6000000000000085,18.799999999999997,334
D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,SAC,27,414,115.0,113.4,1.6,D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Ellis,SAC,12,69,130.4,113.1,17.3,"D. DeRozan, D. Sabonis, M. Monk, D. Fox",K. Murray,K. Ellis,15.400000000000006,-0.30000000000001137,15.700000000000001,345
D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,SAC,27,414,115.0,113.4,1.6,D. DeRozan - D. Sabonis - M. Monk - K. Huerter - K. Murray,SAC,13,29,109.5,95.2,14.3,"D. DeRozan, D. Sabonis, K. Murray, M. Monk",D. Fox,K. Huerter,-5.5,-18.200000000000003,12.700000000000001,385
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,IND,26,363,115.6,99.9,15.8,M. Turner - P. Siakam - T. Haliburton - B. Mathurin - Q. Jackson,IND,9,106,113.8,119.2,-5.4,"M. Turner, T. Haliburton, B. Mathurin, P. Siakam",A. Nembhard,Q. Jackson,-1.7999999999999972,19.299999999999997,-21.200000000000003,257
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,IND,26,363,115.6,99.9,15.8,M. Turner - P. Siakam - T. Haliburton - B. Mathurin - B. Sheppard,IND,10,105,111.8,115.2,-3.4,"M. Turner, T. Haliburton, B. Mathurin, P. Siakam",A. Nembhard,B. Sheppard,-3.799999999999997,15.299999999999997,-19.2,258
