LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
K. Caldwell-Pope - G. Bitadze - F. Wagner - J. Suggs - T. da Silva,ORL,13,152,108.2,110.0,-1.7,66.9,1.93,19.5,29.9,77.0,52.2,0.1,51.3,54.9,95.62,50.6
D. Mitchell - J. Allen - D. Garland - I. Okoro - E. Mobley,CLE,15,148,125.6,114.2,11.4,61.9,2.17,20.5,25.5,72.7,50.2,0.1,63.1,65.2,102.56,54.4
T. Harris - T. Hardaway Jr. - M. Beasley - C. Cunningham - J. Duren,DET,32,140,108.7,116.6,-7.9,55.4,1.40,16.4,23.5,76.5,50.4,0.2,56.4,60.8,105.78,46.7
C. Paul - H. Barnes - D. Vassell - J. Sochan - V. Wembanyama,SAS,12,136,116.3,100.0,16.3,77.1,2.60,22.6,22.6,71.9,49.5,0.1,57.5,60.6,99.99,59.4
J. Randle - D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,MIN,34,135,125.6,107.3,18.3,60.0,2.89,19.7,26.0,66.2,47.3,0.1,63.3,65.8,102.17,57.3
A. Simons - D. Ayton - D. Avdija - S. Sharpe - T. Camara,POR,10,134,113.3,111.4,2.0,55.0,1.57,17.7,24.4,69.7,49.2,0.2,59.4,61.9,99.05,51.0
D. DeRozan - D. Sabonis - M. Monk - K. Murray - K. Ellis,SAC,22,126,123.8,101.2,22.7,63.6,3.21,20.7,28.2,74.2,52.0,0.1,57.0,60.8,98.31,61.4
J. Grant - A. Simons - D. Ayton - S. Sharpe - T. Camara,POR,10,126,93.7,123.6,-29.9,58.8,1.16,15.9,24.6,77.7,48.4,0.2,47.4,50.6,102.00,35.8
J. Poeltl - R. Barrett - D. Mitchell - S. Barnes - G. Dick,TOR,13,126,105.1,113.2,-8.0,69.3,1.80,20.5,27.9,75.2,51.4,0.2,55.1,57.1,102.92,48.8
O. Anunoby - J. Hart - M. Bridges - J. Brunson - J. Sims,NYK,18,120,105.6,110.0,-4.4,63.2,1.82,17.9,33.9,75.9,53.4,0.1,50.5,52.9,92.33,48.5
K. Durant - B. Beal - J. Nurkić - T. Jones - D. Booker,PHX,12,119,103.9,120.9,-17.1,73.6,2.19,23.1,10.4,70.9,42.2,0.1,57.6,59.1,103.83,44.0
K. Irving - K. Thompson - P. Washington - L. Dončić - D. Lively II,DAL,14,119,127.9,104.4,23.5,58.2,2.45,19.5,36.1,69.4,53.1,0.1,60.4,62.2,100.88,59.6
T. Rozier - B. Adebayo - H. Highsmith - T. Herro - J. Jaquez Jr.,MIA,14,118,96.0,116.0,-20.0,67.4,1.93,17.4,20.7,66.7,42.6,0.1,46.0,50.3,99.12,43.6
J. Harden - K. Leonard - N. Powell - I. Zubac - D. Jones Jr.,LAC,9,116,133.3,94.8,38.5,61.7,2.93,22.6,30.8,80.5,57.7,0.1,63.1,65.7,103.37,68.5
R. Gobert - J. Randle - N. Alexander-Walker - A. Edwards - J. McDaniels,MIN,29,115,110.2,96.7,13.5,44.4,1.25,12.9,30.3,70.2,49.8,0.1,52.7,56.4,99.42,51.9
R. Westbrook - A. Gordon - N. Jokić - M. Porter Jr. - C. Braun,DEN,18,115,129.4,104.8,24.6,74.0,2.22,23.6,39.2,69.0,55.7,0.2,65.5,67.1,105.93,61.1
B. Lopez - D. Lillard - B. Portis - G. Trent Jr. - A. Green,MIL,13,111,122.1,101.7,20.4,54.8,2.04,18.4,21.9,75.4,50.7,0.1,60.3,63.4,100.55,55.4
J. Jackson Jr. - J. Morant - D. Bane - Z. Edey - J. Wells,MEM,12,111,134.1,96.8,37.3,54.2,2.17,18.5,35.2,75.6,56.7,0.1,60.4,65.2,108.30,68.6
D. Schröder - D. Finney-Smith - N. Claxton - C. Johnson - C. Thomas,BKN,9,106,116.2,104.2,12.0,61.1,1.83,18.4,28.4,69.3,48.8,0.1,56.6,60.3,97.34,55.2
M. Turner - P. Siakam - T. Haliburton - B. Mathurin - Q. Jackson,IND,9,106,113.8,119.2,-5.4,68.1,1.59,19.9,31.6,73.1,53.0,0.2,57.1,60.5,98.74,49.0
J. Jackson Jr. - J. Morant - B. Clarke - D. Bane - J. Wells,MEM,16,105,120.1,111.6,8.5,63.9,1.59,19.4,32.3,70.3,53.6,0.2,59.6,64.1,105.19,54.1
L. James - A. Davis - D. Russell - R. Hachimura - A. Reaves,LAL,10,105,109.6,104.0,5.6,82.4,2.34,22.2,29.5,73.9,52.4,0.1,51.8,55.7,104.69,55.7
M. Turner - P. Siakam - T. Haliburton - B. Mathurin - B. Sheppard,IND,10,105,111.8,115.2,-3.4,69.3,2.77,20.3,24.3,69.3,46.7,0.1,53.0,55.4,96.26,48.6
N. Vučević - Z. LaVine - C. White - P. Williams - A. Dosunmu,CHI,15,105,107.5,109.0,-1.5,76.7,2.23,20.8,20.0,74.2,49.2,0.1,54.0,58.7,110.68,51.2
C. Capela - T. Young - D. Hunter - J. Johnson - D. Daniels,ATL,16,104,111.7,100.0,11.7,68.8,2.56,18.7,33.1,74.8,53.6,0.1,51.5,56.4,108.90,61.8
N. Vučević - Z. LaVine - C. White - A. Dosunmu - J. Giddey,CHI,13,104,116.7,119.8,-3.2,72.8,2.50,22.9,18.8,76.9,49.5,0.1,63.2,64.3,107.23,48.5
R. Westbrook - N. Jokić - M. Porter Jr. - C. Braun - P. Watson,DEN,24,104,118.3,112.1,6.1,80.2,2.36,25.4,25.6,68.1,51.3,0.2,65.3,67.6,106.17,56.5
