LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,Distance
J. Harden - K. Leonard - N. Powell - I. Zubac - D. Jones Jr.,LAC,9,116,133.3,94.8,38.5,61.7,2.93,22.6,30.8,80.5,57.7,0.1,63.1,65.7,103.37,68.5,24.461078664777748
J. Jackson Jr. - J. Morant - D. Bane - Z. Edey - J. Wells,MEM,12,111,134.1,96.8,37.3,54.2,2.17,18.5,35.2,75.6,56.7,0.1,60.4,65.2,108.3,68.6,23.85392426368831
R. Westbrook - A. Gordon - N. Jokić - M. Porter Jr. - C. Braun,DEN,18,115,129.4,104.8,24.6,74.0,2.22,23.6,39.2,69.0,55.7,0.2,65.5,67.1,105.93,61.1,15.820083315555305
J. Grant - A. Simons - D. Ayton - D. Avdija - T. Camara,POR,15,188,98.7,115.8,-17.1,58.0,1.38,15.4,29.1,68.8,48.1,0.2,46.9,50.2,99.87,40.1,16.81518270624629
T. Rozier - B. Adebayo - H. Highsmith - T. Herro - J. Jaquez Jr.,MIA,14,118,96.0,116.0,-20.0,67.4,1.93,17.4,20.7,66.7,42.6,0.1,46.0,50.3,99.12,43.6,19.459540148158123
J. Grant - A. Simons - D. Ayton - S. Sharpe - T. Camara,POR,10,126,93.7,123.6,-29.9,58.8,1.16,15.9,24.6,77.7,48.4,0.2,47.4,50.6,102.0,35.8,24.659934497975538
K. Kuzma - J. Poole - B. Coulibaly - A. Sarr - B. Carrington,WAS,17,208,86.7,120.3,-33.5,63.6,1.43,15.7,18.5,73.0,42.6,0.1,44.4,46.4,108.15,31.5,29.6213667720523
